[2019-10-10 17:25:36.425]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter initControllerAdviceCache  556 - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7892f8b5: startup date [Thu Oct 10 17:25:34 CST 2019]; root of context hierarchy
[2019-10-10 17:25:36.431]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/djResult],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.result(javax.servlet.http.HttpServletResponse,java.util.Map<java.lang.String, java.lang.String>)
[2019-10-10 17:25:36.431]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/login],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.appLogin(java.util.Map<java.lang.String, java.lang.String>) throws java.text.ParseException
[2019-10-10 17:25:36.431]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/handoverData],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.handoverData(com.alibaba.fastjson.JSONArray)
[2019-10-10 17:25:36.431]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/getJjbWrite],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.getJjbWrite(java.util.Map<java.lang.String, java.lang.String>) throws java.text.ParseException
[2019-10-10 17:25:36.432]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/DCSData],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.appGetDCSData(java.util.Map<java.lang.String, java.lang.String>)
[2019-10-10 17:25:36.432]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/app/successionData],methods=[POST]}" onto public com.demo.model.universal.ResultJson com.demo.controller.appController.successionData(com.alibaba.fastjson.JSONArray)
[2019-10-10 17:25:36.437]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/index/indexShow],methods=[GET]}" onto public java.lang.String com.demo.controller.IndexController.index() throws org.json.JSONException
[2019-10-10 17:25:36.437]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/spot/Universal/alarm/update],methods=[POST]}" onto public java.lang.Integer com.demo.controller.IndexController.getIndex(java.util.Map<java.lang.String, java.lang.String>,javax.servlet.http.HttpServletRequest) throws java.io.UnsupportedEncodingException
[2019-10-10 17:25:36.437]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/equipment/sk/zb/spot/detailed],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.demo.controller.IndexController.getsection_Spot_SK_zb_detailedData_Url()
[2019-10-10 17:25:36.438]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/equipment/sk/ep/spot/detailed],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.demo.controller.IndexController.getsection_Spot_SK_ep_detailedData_Url()
[2019-10-10 17:25:36.438]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/equipment/ns/sgnm/spot/Alarm],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.demo.controller.IndexController.getsection_Spot_ns_sgnm_Alarm_Url()
[2019-10-10 17:25:36.438]  INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping register  543 - Mapped "{[/spot/mk/bzmj/alarm],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.demo.controller.IndexController.getsection_Spot_MF_Bzmj_Alarm_Url()
